service_id,date,exception_type
288805_236891,20250421,1
288805_236891,20250420,1
288805_236893,20250421,1
288805_236893,20250420,1
288805_237684,20250421,1
288805_237684,20250420,1
288805_237685,20250421,1
288805_237685,20250420,1
288806_236899,20251017,2
288806_236899,20250401,2
288806_236899,20250425,2
288806_236899,20250317,2
288806_236899,20250521,2
288806_236899,20251023,2
288806_236899,20250408,2
288806_236899,20251009,2
288806_236899,20250505,2
288806_236899,20250513,2
288806_236899,20251022,2
288806_236899,20251001,2
288806_236899,20251024,2
288806_236899,20250321,2
288806_236899,20250930,2
288806_236899,20250512,2
288806_236899,20250327,2
288806_236899,20251027,2
288806_236899,20250404,2
288806_236899,20251015,2
288806_236899,20250326,2
288806_236899,20250429,2
288806_236899,20251003,2
288806_236899,20250522,2
288806_236899,20250414,2
288806_236899,20250402,2
288806_236899,20251021,2
288806_236899,20250320,2
288806_236899,20250430,2
288806_236899,20251008,2
288806_236899,20250515,2
288806_236899,20250328,2
288806_236899,20250331,2
288806_236899,20250929,2
288806_236899,20250519,2
288806_236899,20250415,2
288806_236899,20250514,2
288806_236899,20250409,2
288806_236899,20250516,2
288806_236899,20251002,2
288806_236899,20251014,2
288806_236899,20250319,2
288806_236899,20250403,2
288806_236899,20250507,2
288806_236899,20250424,2
288806_236899,20250325,2
288806_236899,20251010,2
288806_236899,20250411,2
288806_236899,20251006,2
288806_236899,20250318,2
288806_236899,20251016,2
288806_236899,20250324,2
288806_236899,20250410,2
288806_236899,20251013,2
288806_236899,20251007,2
288806_236899,20250428,2
288806_236899,20250423,2
288806_236899,20250520,2
288806_236899,20250416,2
288806_236899,20250506,2
288806_236899,20250407,2
288806_236899,20250422,2
288806_236899,20250509,2
288806_236899,20250523,2
288806_236899,20251020,2
288806_236901,20251017,2
288806_236901,20250401,2
288806_236901,20250425,2
288806_236901,20250317,2
288806_236901,20250521,2
288806_236901,20251023,2
288806_236901,20250408,2
288806_236901,20251009,2
288806_236901,20250505,2
288806_236901,20250513,2
288806_236901,20251022,2
288806_236901,20251001,2
288806_236901,20251024,2
288806_236901,20250321,2
288806_236901,20250930,2
288806_236901,20250512,2
288806_236901,20250327,2
288806_236901,20251027,2
288806_236901,20250404,2
288806_236901,20251015,2
288806_236901,20250326,2
288806_236901,20250429,2
288806_236901,20251003,2
288806_236901,20250522,2
288806_236901,20250414,2
288806_236901,20250402,2
288806_236901,20251021,2
288806_236901,20250320,2
288806_236901,20250430,2
288806_236901,20251008,2
288806_236901,20250515,2
288806_236901,20250328,2
288806_236901,20250331,2
288806_236901,20250929,2
288806_236901,20250519,2
288806_236901,20250415,2
288806_236901,20250514,2
288806_236901,20250409,2
288806_236901,20250516,2
288806_236901,20251002,2
288806_236901,20251014,2
288806_236901,20250319,2
288806_236901,20250403,2
288806_236901,20250507,2
288806_236901,20250424,2
288806_236901,20250325,2
288806_236901,20251010,2
288806_236901,20250411,2
288806_236901,20251006,2
288806_236901,20250318,2
288806_236901,20251016,2
288806_236901,20250324,2
288806_236901,20250410,2
288806_236901,20251013,2
288806_236901,20251007,2
288806_236901,20250428,2
288806_236901,20250423,2
288806_236901,20250520,2
288806_236901,20250416,2
288806_236901,20250506,2
288806_236901,20250407,2
288806_236901,20250422,2
288806_236901,20250509,2
288806_236901,20250523,2
288806_236901,20251020,2
288806_236907,20251017,2
288806_236907,20250401,2
288806_236907,20250425,2
288806_236907,20250317,2
288806_236907,20250521,2
288806_236907,20251023,2
288806_236907,20250408,2
288806_236907,20251009,2
288806_236907,20250505,2
288806_236907,20250513,2
288806_236907,20251022,2
288806_236907,20251001,2
288806_236907,20251024,2
288806_236907,20250321,2
288806_236907,20250930,2
288806_236907,20250512,2
288806_236907,20250327,2
288806_236907,20251027,2
288806_236907,20250404,2
288806_236907,20251015,2
288806_236907,20250326,2
288806_236907,20250429,2
288806_236907,20251003,2
288806_236907,20250522,2
288806_236907,20250414,2
288806_236907,20250402,2
288806_236907,20251021,2
288806_236907,20250320,2
288806_236907,20250430,2
288806_236907,20251008,2
288806_236907,20250515,2
288806_236907,20250328,2
288806_236907,20250331,2
288806_236907,20250929,2
288806_236907,20250519,2
288806_236907,20250415,2
288806_236907,20250514,2
288806_236907,20250409,2
288806_236907,20250516,2
288806_236907,20251002,2
288806_236907,20251014,2
288806_236907,20250319,2
288806_236907,20250403,2
288806_236907,20250507,2
288806_236907,20250424,2
288806_236907,20250325,2
288806_236907,20251010,2
288806_236907,20250411,2
288806_236907,20251006,2
288806_236907,20250318,2
288806_236907,20251016,2
288806_236907,20250324,2
